Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, Image ,, 
Everest Base Camp Trek - 16 Days ,, 134750 ,, 16days ,, 5.0  ,, Private Tour   ,, Hard ,, Ace the Himalaya ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-16-days-tour-2-213_1510029029.JPG ,, 
Mera Peak Climb ,, 220000 ,, 18days ,, 4.9  ,, Private Tour   ,, nan ,, Unique Adventure International Pvt Ltd ,, Mera Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mera-peak-climb-tour-2-412_1528517187.JPG ,, 
Dhampus Sarangkot (Short Annapurna Trek) ,, 19250 ,, 3days ,, 4.3  ,, Private Tour   ,, Easy ,, Green Valley Nepal Treks Pvt Ltd ,, Pokhara ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/dhampus-sarangkot-short-annapurna-trek-tour-2-36690_1537158622.JPG ,, 
Everest Base Camp - 3 High Passes Trek ,, 145200 ,, 16days ,, 4.9  ,, Private and Group Tour   ,, Hard ,, Unique Adventure International Pvt Ltd ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-3-high-passes-trek-tour-2-32497_1519276277.JPG ,, 
Everest Base Camp Trek - 12 Days ,, 137500 ,, 12days ,, 4.9  ,, Private Tour   ,, Moderate ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://i.ytimg.com/vi/BMvn7MIZJnU/0.jpg ,, 
Everest Base Camp Tour ,, 110000 ,, 12days ,, 5.0  ,, Group Tour - Max 12 participants   ,, Hard ,, Mosaic Adventure ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-tour-tour-2-434533_1544678853.JPG ,, 
Annapurna Base Camp Trek - 9 Days ,, 70400 ,, 9days ,, 4.7  ,, Private Tour   ,, Medium ,, Nepal Lion Tours and Treks Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-9-days-tour-2-95138_1510029029.JPG ,, 
Island Peak Climb With Everest Base Camp Trek ,, 229900 ,, 15days ,, 4.9  ,, Private and Group Tour   ,, nan ,, Unique Adventure International Pvt Ltd ,, Island Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/island-peak-climb-with-everest-base-camp-trek-tour-2-450_1528274092.JPG ,, 
Gokyo And Everest Base Camp Trek ,, 130350 ,, 14days ,, 4.8  ,, Private and Group Tour   ,, Hard ,, Green Valley Nepal Treks Pvt Ltd ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-and-everest-base-camp-trek-tour-2-394_1544954571.JPG ,, 
Manaslu Circuit Trek ,, 110000 ,, 14days ,, 4.8  ,, Private Tour   ,, Hard ,, Green Valley Nepal Treks Pvt Ltd ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-circuit-trek-tour-2-388_1540290869.JPG ,, 
12-Day Everest Base Camp Trekking ,, 120890 ,, 12days ,, 5.0  ,, Private Tour   ,, Medium ,, Trekking Planner (P.) Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/12-day-everest-base-camp-trekking-tour-2-18099_1534061035.JPG ,, 
Experience Nepal ,, 111320 ,, 10days ,, 5.0  ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/experience-nepal-tour-2-354716_0.JPG ,, 
Gokyo Lake And Everest Base Camp + Cho La Pass ,, 135300 ,, 15days ,, 4.7  ,, Private and Group Tour   ,, Hard ,, Unique Adventure International Pvt Ltd ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-lake-and-everest-base-camp-cho-la-pass-tour-2-462125_1547649562.JPG ,, 
Everest Base Camp Trek ,, 125400 ,, 13days ,, 5.0  ,, Private Tour   ,, Hard ,, Friends Adventure Team Pvt. Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-tour-2-264806_1543823042.JPG ,, 
Annapurna Base Camp Trek ,, 72600 ,, 12days ,, 5.0  ,, Private Tour   ,, Medium ,, Buddha Treks and Expedition ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-tour-2-271039_1510029029.JPG ,, 
Gosainkunda Trekking ,, 44550 ,, 7days ,, 5.0  ,, Private Tour   ,, Moderate ,, Green Valley Nepal Treks Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gosainkunda-trekking-tour-2-81815_1510029029.JPG ,, 
Everest Base Camp Trek (EBC Trek) - 12 Days ,, 94050 ,, 12days ,, 4.9  ,, Private Tour   ,, Hard ,, Breakfree Adventures Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-ebc-trek-12-days-tour-2-20727_1547110138.JPG ,, 
Annapurna Circuit Trek - 15 Days ,, 102960 ,, 15days ,, 4.7  ,, Private Tour   ,, Medium ,, Himalayan Leisure Inc. ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-trek-15-days-tour-2-28727_1529047081.JPG ,, 
Annapurna Sanctuary ,, 141900 ,, 16days ,, 5.0  ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-sanctuary-tour-2-354771_0.JPG ,, 
Kathmandu Valley Hiking ,, 24200 ,, 4days ,, 5.0  ,, Private Tour   ,, Easy ,, Adventure Bound Treks and Tours ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kathmandu-valley-hiking-tour-2-269861_1544420689.JPG ,, 
4 Days Trek To Poon Hill ,, 37950 ,, 4days ,, 5.0  ,, Group Tour - Max 12 participants   ,, Moderate ,, Mosaic Adventure ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/4-days-trek-to-poon-hill-tour-2-410094_1546445717.JPG ,, 
Around Annapurna Trek ,, 127600 ,, 21days ,, 4.9  ,, Private Tour   ,, Hard ,, Buddha Treks and Expedition ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/around-annapurna-trek-tour-2-266492_1539417539.JPG ,, 
