Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, Image ,, 
Mountain Biking On The Annapurna Circuit ,, 193600 ,, 14days ,, 5.0  ,, Private and Group Tour   ,, nan ,, Himalayan Single Track ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Mountain biking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mountain-biking-on-the-annapurna-circuit-tour-2-443398_1547546692.JPG ,, 
Island Peak Climbing & Everest Base Camp Trek ,, 195360 ,, 16days ,, 5.0  ,, Private Tour   ,, nan ,, Himalayan Leisure Inc. ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/island-peak-climbing-and-everest-base-camp-trek-tour-2-437840_1536132761.JPG ,, 
10 Days Everest Base Camp Trek ,, 115500 ,, 10days ,, 5.0  ,, Group Tour   ,, Medium ,, Nepal Eco Adventure Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/10-days-everest-base-camp-trek-tour-2-449164_1536206122.JPG ,, 
Everest Base Camp & Island Peak Climb ,, 229900 ,, 19days ,, 4.9  ,, Private and Group Tour   ,, nan ,, Nepal Climbing Adventure Pvt. Ltd. ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-and-island-peak-climb-tour-2-452199_1540654240.JPG ,, 
Everest Base Camp & Kalapatthar Trek ,, 104500 ,, 15days ,, 4.9  ,, Private and Group Tour   ,, Hard ,, Nepal Climbing Adventure Pvt. Ltd. ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-and-kalapatthar-trek-tour-2-450795_1547552233.JPG ,, 
Everest Base Camp Trek With Chopper Return (9 Days) ,, 264000 ,, 9days ,, nan ,, Private and Group Tour   ,, Hard ,, Nepal Eco Adventure Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-with-chopper-return-9-days-tour-2-460226_1546948257.JPG ,, 
Everest Base Camp Short Trek - 12 Days ,, 159500 ,, 12days ,, nan ,, Private Tour   ,, Medium ,, Alpine Club of Himalaya ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-short-trek-12-days-tour-2-462927_1548405159.JPG ,, 
Everest Base Camp Leisurely Trek (16 Days) ,, 170500 ,, 16days ,, nan ,, Private Tour   ,, Medium ,, Alpine Club of Himalaya ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-leisurely-trek-16-days-tour-2-455542_1548405866.JPG ,, 
Gokyo Valley Trek & Kathmandu City Tour (15 Days) ,, 159500 ,, 15days ,, nan ,, Private Tour   ,, Medium ,, Alpine Club of Himalaya ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-valley-trek-and-kathmandu-city-tour-15-days-tour-2-462829_1548406199.JPG ,, 
Pokhara Full Day Sightseeing Tour ,, 8250 ,, 1days ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Pokhara ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/pokhara-full-day-sightseeing-tour-tour-2-452803_1541142395.JPG ,, 
30-minute Paragliding In Pokhara ,, 13750 ,, 3hours ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Pokhara ,, Adventure And Sport Activities ,, Paragliding ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/30-minute-paragliding-in-pokhara-tour-2-452814_1541144301.JPG ,, 
Sunrise View From Sarangkot ,, 8250 ,, 3hours ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Pokhara ,, Wildlife Landscapes And Nature ,, Natural landmarks sightseeing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/sunrise-view-from-sarangkot-tour-2-452820_1541146666.JPG ,, 
Pokhara Half Day Sightseeing Tour ,, 7150 ,, 4hours ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Pokhara ,, Sightseeing Attractions Culture And History ,, City sightseeing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/pokhara-half-day-sightseeing-tour-tour-2-452808_1541143456.JPG ,, 
Temples And Monasteries ,, 4950 ,, 5hours ,, nan ,, Private Tour   ,, nan ,, Himalayan Single Track ,, Kathmandu ,, Adventure And Sport Activities ,, Mountain biking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/temples-and-monasteries-tour-2-443938_1534162952.JPG ,, 
Night Ride In Kathmandu ,, 7150 ,, 3hours ,, nan ,, Private Tour   ,, nan ,, Himalayan Single Track ,, Kathmandu ,, Adventure And Sport Activities ,, Mountain biking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/night-ride-in-kathmandu-tour-2-444206_1534148652.JPG ,, 
Morning Glory ,, 2750 ,, 2hours ,, 5.0  ,, Private Tour   ,, nan ,, Himalayan Single Track ,, Kathmandu ,, Adventure And Sport Activities ,, Mountain biking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/morning-glory-tour-2-444210_1534133625.JPG ,, 
Trip To Everest Base Camp Tibet From Kathmandu ,, 240900 ,, 13days ,, nan ,, Private and Group Tour   ,, nan ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Kathmandu ,, Wildlife Landscapes And Nature ,, Mountains ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/trip-to-everest-base-camp-tibet-from-kathmandu-tour-2-436967_1547966155.PNG ,, 
Morning Glory ,, 2750 ,, 2hours ,, 5.0  ,, Private Tour   ,, nan ,, Himalayan Single Track ,, Kathmandu ,, Adventure And Sport Activities ,, Mountain biking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/morning-glory-tour-2-444210_1534133625.JPG ,, 
Trip To Everest Base Camp Tibet From Kathmandu ,, 240900 ,, 13days ,, nan ,, Private and Group Tour   ,, nan ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Kathmandu ,, Wildlife Landscapes And Nature ,, Mountains ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/trip-to-everest-base-camp-tibet-from-kathmandu-tour-2-436967_1547966155.PNG ,, 
Nagarkot To Dhulikhel Hike (Day Hiking In Kathmandu) ,, 7700 ,, 1days ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Nagarkot ,, Adventure And Sport Activities ,, Hiking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nagarkot-to-dhulikhel-hike-day-hiking-in-kathmandu-tour-2-436665_1537642855.JPG ,, 
Enduro Mountain Biking Around Kathmandu ,, 27500 ,, 2days ,, 5.0  ,, Private Tour   ,, nan ,, Himalayan Single Track ,, Nagarkot ,, Adventure And Sport Activities ,, Mountain biking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/enduro-mountain-biking-around-kathmandu-tour-2-443405_1544427411.JPG ,, 
Cycling On The Apple Brandy Trail ,, 75900 ,, 5days ,, 5.0  ,, Private Tour   ,, nan ,, Himalayan Single Track ,, Annapurna Region ,, Adventure And Sport Activities ,, Mountain biking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/cycling-on-the-apple-brandy-trail-tour-2-443408_1534161461.JPG ,, 
Short Annapurna Base Camp Trek ,, 62150 ,, 8days ,, 5.0  ,, Private Tour   ,, Medium ,, Exciting Nepal Treks and Expedition ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/short-annapurna-base-camp-trek-tour-2-262834_1532488267.JPG ,, 
Lang Tang Valley Trek ,, 43890 ,, 8days ,, 4.8  ,, Private and Group Tour   ,, Moderate ,, Mount Adventure Holidays ,, Tamang Heritage Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/lang-tang-valley-trek-tour-2-461910_1548578116.JPG ,, 
Gokyo Lake Trek ,, 137500 ,, 15days ,, 5.0  ,, Private and Group Tour   ,, Medium ,, Nepal Guide Treks & Expedition ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-lake-trek-tour-2-327862_1547110321.PNG ,, 
10-day Langtang Valley Trek ,, 52910 ,, 10days ,, 5.0  ,, Private Tour   ,, Easy ,, Himalayan Leisure Inc. ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/10-day-langtang-valley-trek-tour-2-19178_1546266834.JPG ,, 
03-Day Chitwan Jungle Safari Tour ,, 17600 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Base Camp Adventure Treks & Expedition Pvt. Ltd ,, Chitwan National Park ,, Wildlife Landscapes And Nature ,, Rainforest and jungle visits ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/03-day-chitwan-jungle-safari-tour-tour-2-19606_1527676214.JPG ,, 
Everest Base Camp Trek ,, 272250 ,, 16days ,, 5.0  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-tour-2-351637_0.JPG ,, 
Gokyo Valley Trek ,, 113300 ,, 11days ,, 5.0  ,, Private and Group Tour   ,, Medium ,, Unique Adventure International Pvt Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-valley-trek-tour-2-258233_1510029029.JPG ,, 
Annapurna Base Camp Trek ,, 69850 ,, 11days ,, 5.0  ,, Private Tour   ,, Medium ,, Exciting Nepal Treks and Expedition ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-tour-2-11974_1510029029.JPG ,, 
Everest Base Camp - 3 High Passes Trek ,, 152900 ,, 16days ,, 5.0  ,, Private Tour   ,, Hard ,, Friends Adventure Team Pvt. Ltd ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-3-high-passes-trek-tour-2-13863_1543821965.JPG ,, 
12-Day Annapurna Base Camp Trekking ,, 98890 ,, 12days ,, 5.0  ,, Private Tour   ,, Moderate ,, Trekking Planner (P.) Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/12-day-annapurna-base-camp-trekking-tour-2-18130_1510029029.JPG ,, 
Langtang Valley Trek ,, 43890 ,, 8days ,, 4.4  ,, Private Tour   ,, Moderate ,, Adventure Bound Treks and Tours ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-valley-trek-tour-2-259542_1540812568.JPG ,, 
Annapurna Base Camp Trek ,, 80850 ,, 8days ,, 5.0  ,, Private Tour   ,, Moderate ,, Unique Path Trekking & Expedition (P) LTD. ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-tour-2-193_1540806602.JPG ,, 
Everest Base Camp Trek ,, 109890 ,, 11days ,, 5.0  ,, Private Tour   ,, Hard ,, Mount Adventure Holidays ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://i.ytimg.com/vi/ek68FywcAC0/0.jpg ,, 
Everest Base Camp Trek With Island Peak Climbing ,, 214500 ,, 17days ,, 4.5  ,, Private Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Island Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-with-island-peak-climbing-tour-2-131230_1510029029.JPG ,, 
Manaslu Trek - 12 Days ,, 104500 ,, 12days ,, 4.5  ,, Private Tour   ,, Moderate ,, Nepal Lion Tours and Treks Pvt Ltd ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-trek-12-days-tour-2-48322_1539410025.JPG ,, 
Kolkata To Kathmandu (via Bhutan) Overland ,, 611600 ,, 15days ,, nan ,, Group Tour - Max 22 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kolkata-to-kathmandu-via-bhutan-overland-tour-2-268490_1516114082.JPG ,, 
Annapurna Base Camp Trek ,, 91300 ,, 11days ,, 5.0  ,, Private Tour   ,, Moderate ,, Nepal Hiking Team ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-tour-2-682_1510029029.JPG ,, 
Annapurna Base Camp Trek ,, 71500 ,, 8days ,, 5.0  ,, Private and Group Tour   ,, Moderate ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-tour-2-158018_1542004160.JPG ,, 
Annapurna Circuit Trek ,, 75900 ,, 16days ,, 4.8  ,, Private Tour   ,, Medium ,, Glorious Himalaya Trekking Pvt Ltd. ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-trek-tour-2-266970_1543229970.JPG ,, 
Poonhill Trek ,, 53900 ,, 6days ,, 4.9  ,, Private Tour   ,, Easy ,, Exciting Nepal Treks and Expedition ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/poonhill-trek-tour-2-266409_1522583261.JPG ,, 
Everest Base Camp Trekking 12 Days ,, 116600 ,, 12days ,, 4.8  ,, Private Tour   ,, Hard ,, Nepal Lion Tours and Treks Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trekking-12-days-tour-2-264183_1544505098.JPG ,, 
Everest & Annapurna ,, 325050 ,, 31days ,, nan ,, Group Tour - Max 16 participants   ,, Easy ,, Intrepid Travel ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-and-annapurna-tour-2-354721_0.JPG ,, 
Upper Mustang Trek ,, 163900 ,, 12days ,, 5.0  ,, Private Tour   ,, nan ,, Himalayan Leisure Inc. ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-mustang-trek-tour-2-19202_1510029029.JPG ,, 
Annapurna Circuit Trek ,, 115500 ,, 20days ,, 4.9  ,, Private Tour   ,, Medium ,, Ace the Himalaya ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-trek-tour-2-222_1510029029.JPG ,, 
Gokyo Renjo La Pass Trekking ,, 125400 ,, 13days ,, nan ,, Private Tour   ,, Moderate ,, Trekking Planner (P.) Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-renjo-la-pass-trekking-tour-2-269005_1510029029.JPG ,, 
Gokyo Valley Circuit Trek ,, 110000 ,, 11days ,, 5.0  ,, Private Tour   ,, Medium ,, Green Valley Nepal Treks Pvt Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-valley-circuit-trek-tour-2-397_1515230741.JPG ,, 
Upper Mustang Trek ,, 195250 ,, 14days ,, 5.0  ,, Private Tour   ,, Medium ,, Green Valley Nepal Treks Pvt Ltd ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-mustang-trek-tour-2-375_1526192896.JPG ,, 
Manaslu - Tsum Valley Trekking ,, 153450 ,, 21days ,, 4.0  ,, Private Tour   ,, Hard ,, Green Valley Nepal Treks Pvt Ltd ,, Manaslu-Tsum Valley ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-tsum-valley-trekking-tour-2-264130_1537163294.JPG ,, 
Mera Peak Climbing Tour ,, 226050 ,, 18days ,, 5.0  ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Mera Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mera-peak-climbing-tour-tour-2-264303_1547118452.JPG ,, 
Kanchanjunga Base Camp Trek ,, 203500 ,, 25days ,, 4.9  ,, Private Tour   ,, Hard ,, Nepal Eco Adventure Pvt Ltd ,, Kanchenjunga Base Camp ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kanchanjunga-base-camp-trek-tour-2-203966_1510029029.JPG ,, 
Gokyo And Everest Base Camp Trek ,, 118250 ,, 15days ,, 5.0  ,, Private Tour   ,, Medium ,, Unique Path Trekking & Expedition (P) LTD. ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-and-everest-base-camp-trek-tour-2-308121_1540809437.JPG ,, 
Highlights Of Nepal ,, 59840 ,, 11days ,, 4.2  ,, Group Tour - Max 10 participants   ,, nan ,, Tucan Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Adventure ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/highlights-of-nepal-tour-2-261349_1543569909.JPG ,, 
10-day Gosainkunda Trekking Nepal ,, 51040 ,, 10days ,, 4.0  ,, Private Tour   ,, nan ,, Himalayan Leisure Inc. ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/10-day-gosainkunda-trekking-nepal-tour-2-19185_1510029029.JPG ,, 
Joint Treks Of Langtang And Poon Hill - 12 Days ,, 94050 ,, 12days ,, 4.5  ,, Private Tour   ,, Easy ,, Nepal Lion Tours and Treks Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/joint-treks-of-langtang-and-poon-hill-12-days-tour-2-48111_1536301184.JPG ,, 
Annapurna Base Camp Trek ,, 87890 ,, 14days ,, 5.0  ,, Private Tour   ,, Moderate ,, Ace the Himalaya ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-tour-2-249_1547550468.JPG ,, 
Annapurna Sanctuary Trek ,, 86900 ,, 13days ,, 5.0  ,, Private and Group Tour   ,, Medium ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-sanctuary-trek-tour-2-20235_1542022578.JPG ,, 
Annapurna Base Camp/PoonHill Trekking ,, 71500 ,, 12days ,, 4.8  ,, Private Tour   ,, Hard ,, Nepal Lion Tours and Treks Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-poonhill-trekking-tour-2-264038_1539410325.JPG ,, 
Poonhill Short Trek ,, 33000 ,, 4days ,, nan ,, Private Tour   ,, Easy ,, Adventure Bound Treks and Tours ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/poonhill-short-trek-tour-2-328407_1544680557.JPEG ,, 
Mera Island & Lobuche: Three Peak Climb ,, 413270 ,, 28days ,, 5.0  ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Island Peak ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mera-island-and-lobuche-three-peak-climb-tour-2-330314_1547109373.PNG ,, 
14 Day Everest Base Camp Trek ,, 142890 ,, 14days ,, 5.0  ,, Private Tour   ,, Hard ,, Kandoo Adventures ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/14-day-everest-base-camp-trek-tour-2-182866_1510029029.JPG ,, 
High Passes To Everest Base Camp ,, 306350 ,, 21days ,, 4.8  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/high-passes-to-everest-base-camp-tour-2-351588_0.JPG ,, 
Annapurna Base Camp Trekking ,, 61600 ,, 12days ,, 5.0  ,, Private Tour   ,, Moderate ,, Adventure Bound Treks and Tours ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trekking-tour-2-640_1544683151.JPG ,, 
Annapurna Panorama Trek ,, 60500 ,, 9days ,, 5.0  ,, Private Tour   ,, Easy ,, Nepal Eco Adventure Pvt Ltd ,, Annapurna Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-panorama-trek-tour-2-318_1510029029.JPG ,, 
Annapurna Base Camp Trekking ,, 61600 ,, 12days ,, 5.0  ,, Private Tour   ,, Moderate ,, Adventure Bound Treks and Tours ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trekking-tour-2-640_1544683151.JPG ,, 
Annapurna Panorama Trek ,, 60500 ,, 9days ,, 5.0  ,, Private Tour   ,, Easy ,, Nepal Eco Adventure Pvt Ltd ,, Annapurna Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-panorama-trek-tour-2-318_1510029029.JPG ,, 
Gokyo And Everest Base Camp ,, 138600 ,, 16days ,, 5.0  ,, Group Tour - Max 12 participants   ,, Hard ,, Mosaic Adventure ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-and-everest-base-camp-tour-2-265311_1544605579.JPG ,, 
Bardia National Park 5 Days/ 4 Nights ,, 33000 ,, 5days ,, nan ,, Private Tour   ,, nan ,, Eyes On Nepal (Nirwana Ceria Nepal Tours & Treks Pvt.Ltd) ,, Bardia National Park ,, Wildlife Landscapes And Nature ,, Wildlife safaris ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/bardia-national-park-5-days-4-nights-tour-2-20854_1517982018.JPG ,, 
Everest Panorama Trek ,, 101750 ,, 7days ,, 5.0  ,, Private Tour   ,, Moderate ,, Nepal Hiking Team ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-panorama-trek-tour-2-678_1510029029.JPG ,, 
Chulu Far East Peak Climbing ,, 226050 ,, 20days ,, 4.7  ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Chulu East Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/chulu-far-east-peak-climbing-tour-2-264327_1547111263.JPG ,, 
Chulu West Peak Climb ,, 229900 ,, 17days ,, 4.7  ,, Private Tour   ,, nan ,, Unique Adventure International Pvt Ltd ,, Chulu West Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/chulu-west-peak-climb-tour-2-325463_1510559885.JPG ,, 
Mardi Himal Trekking ,, 55000 ,, 8days ,, 5.0  ,, Private and Group Tour   ,, Moderate ,, Nepal Eco Adventure Pvt Ltd ,, Mardi Himal Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mardi-himal-trekking-tour-2-23937_1535097755.JPG ,, 
Langtang Gosaikunda Trek ,, 104500 ,, 13days ,, 4.0  ,, Private and Group Tour   ,, Medium ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-gosaikunda-trek-tour-2-173577_1542004809.JPG ,, 
Poonhill Trekking ,, 59950 ,, 6days ,, 4.8  ,, Private Tour   ,, Easy ,, Adventure Bound Treks and Tours ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/poonhill-trekking-tour-2-258227_1523772723.JPG ,, 
Annapurna Circuit ,, 255750 ,, 22days ,, 4.6  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-tour-2-325233_0.JPG ,, 
Everest Base Camp And Three Passes Trek ,, 170500 ,, 16days ,, 5.0  ,, Private and Group Tour   ,, Hard ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-and-three-passes-trek-tour-2-173575_1542001087.JPG ,, 
Manaslu Lodge Circuit ,, 272250 ,, 18days ,, 4.9  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-lodge-circuit-tour-2-351554_0.JPG ,, 
Gokyo Everest Base Camp Trek ,, 152900 ,, 16days ,, 5.0  ,, Private Tour   ,, Hard ,, Friends Adventure Team Pvt. Ltd ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-everest-base-camp-trek-tour-2-263415_1543822577.JPG ,, 
Wonders Of India And Nepal ,, 131890 ,, 29days ,, 4.5  ,, Group Tour - Max 10 participants   ,, nan ,, Tucan Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Adventure ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/wonders-of-india-and-nepal-tour-2-261377_1543570195.JPG ,, 
