Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, 
Upper Mustang Trek ,, 163900 ,, 12days ,, 5.0  ,, Private Tour   ,, nan ,, Himalayan Leisure Inc. ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit Trek ,, 115500 ,, 20days ,, 4.9  ,, Private Tour   ,, Medium ,, Ace the Himalaya ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Gokyo Renjo La Pass Trekking ,, 125400 ,, 13days ,, nan ,, Private Tour   ,, Moderate ,, Trekking Planner (P.) Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Gokyo Valley Circuit Trek  ,, 110000 ,, 11days ,, 5.0  ,, Private Tour   ,, Medium ,, Green Valley Nepal Treks Pvt Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Upper Mustang Trek ,, 195250 ,, 14days ,, 5.0  ,, Private Tour   ,, Medium ,, Green Valley Nepal Treks Pvt Ltd ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Manaslu - Tsum Valley Trekking ,, 153450 ,, 21days ,, 4.0  ,, Private Tour   ,, Hard ,, Green Valley Nepal Treks Pvt Ltd ,, Manaslu-Tsum Valley ,, Adventure And Sport Activities ,, Trekking ,, 
Mera Peak Climbing Tour  ,, 226050 ,, 18days ,, 5.0  ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Mera Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Kanchanjunga Base Camp Trek ,, 203500 ,, 25days ,, 4.9  ,, Private Tour   ,, Hard ,, Nepal Eco Adventure Pvt Ltd ,, Kanchenjunga Base Camp ,, Adventure And Sport Activities ,, Trekking ,, 
Gokyo And Everest Base Camp Trek ,, 118250 ,, 15days ,, 5.0  ,, Private Tour   ,, Medium ,, Unique Path Trekking & Expedition (P) LTD. ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Highlights Of Nepal ,, 59840 ,, 11days ,, 4.2  ,, Group Tour - Max 10 participants   ,, nan ,, Tucan Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Adventure ,, 
10-day Gosainkunda Trekking Nepal ,, 51040 ,, 10days ,, 4.0  ,, Private Tour   ,, nan ,, Himalayan Leisure Inc. ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Joint Treks Of Langtang And Poon Hill - 12 Days ,, 94050 ,, 12days ,, 4.5  ,, Private Tour   ,, Easy ,, Nepal Lion Tours and Treks Pvt Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp Trek ,, 87890 ,, 14days ,, 5.0  ,, Private Tour   ,, Moderate ,, Ace the Himalaya ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Sanctuary Trek ,, 86900 ,, 13days ,, 5.0  ,, Private and Group Tour   ,, Medium ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp/PoonHill Trekking ,, 71500 ,, 12days ,, 4.8  ,, Private Tour   ,, Hard ,, Nepal Lion Tours and Treks Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Poonhill Short Trek ,, 33000 ,, 4days ,, nan ,, Private Tour   ,, Easy ,, Adventure Bound Treks and Tours ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Mera Island & Lobuche: Three Peak Climb ,, 413270 ,, 28days ,, 5.0  ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Mera Peak ,, Adventure And Sport Activities ,, Climbing ,, 
14 Day Everest Base Camp Trek ,, 142890 ,, 14days ,, 5.0  ,, Private Tour   ,, Hard ,, Kandoo Adventures ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
High Passes To Everest Base Camp ,, 306350 ,, 21days ,, 4.8  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp Trekking  ,, 61600 ,, 12days ,, 5.0  ,, Private Tour   ,, Moderate ,, Adventure Bound Treks and Tours ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Panorama Trek ,, 60500 ,, 9days ,, 5.0  ,, Private Tour   ,, Easy ,, Nepal Eco Adventure Pvt Ltd ,, Annapurna Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Gokyo And Everest Base Camp ,, 138600 ,, 16days ,, 5.0  ,, Group Tour - Max 12 participants   ,, Hard ,, Mosaic Adventure ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Bardia National Park 5 Days/ 4 Nights ,, 33000 ,, 5days ,, nan ,, Private Tour   ,, nan ,, Eyes On Nepal Tours & Treks Pvt.Ltd ,, Bardia National Park ,, Wildlife Landscapes And Nature ,, Wildlife safaris ,, 
Everest Panorama Trek ,, 101750 ,, 7days ,, 5.0  ,, Private Tour   ,, Moderate ,, Nepal Hiking Team ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Chulu Far East Peak Climbing ,, 226050 ,, 20days ,, 4.7  ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Chulu East Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Chulu West Peak Climb ,, 229900 ,, 17days ,, 4.7  ,, Private Tour   ,, nan ,, Unique Adventure International Pvt Ltd ,, Chulu West Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Mardi Himal Trekking ,, 55000 ,, 8days ,, 5.0  ,, Private and Group Tour   ,, Moderate ,, Nepal Eco Adventure Pvt Ltd ,, Mardi Himal Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Langtang Gosaikunda Trek ,, 104500 ,, 13days ,, 4.0  ,, Private and Group Tour   ,, Medium ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Poonhill Trekking ,, 59950 ,, 6days ,, 4.7  ,, Private Tour   ,, Easy ,, Adventure Bound Treks and Tours ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit ,, 255750 ,, 22days ,, 4.6  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp And Three Passes Trek ,, 170500 ,, 16days ,, 5.0  ,, Private and Group Tour   ,, Hard ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Manaslu Lodge Circuit ,, 272250 ,, 18days ,, 4.9  ,, Group Tour - Max 14 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Walking tours ,, 
Gokyo Everest Base Camp Trek ,, 152900 ,, 16days ,, 5.0  ,, Private Tour   ,, Hard ,, Friends Adventure Team Pvt. Ltd ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Wonders Of India And Nepal ,, 131890 ,, 29days ,, 4.5  ,, Group Tour - Max 10 participants   ,, nan ,, Tucan Travel ,, Delhi ,, Adventure And Sport Activities ,, Adventure ,, 
Nepal 10 Days 9 Nights Sightseeing Tour Around In Nepal ,, 88000 ,, 10days ,, nan ,, Private Tour   ,, nan ,, Eyes On Nepal Tours & Treks Pvt.Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, 
Everest Base Camp & Kalapathar Trek ,, 93390 ,, 12days ,, nan ,, Private Tour   ,, Hard ,, Base Camp Adventure Treks & Expedition Pvt. Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Ruby Valley Ganesh Himal Trek / Pangsang Pass ,, 65890 ,, 6days ,, 4.3  ,, Private Tour   ,, Moderate ,, Mount Adventure Holidays ,, Ruby Valley ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit Trek ,, 151250 ,, 21days ,, 5.0  ,, Private Tour   ,, Hard ,, Breakfree Adventures Pvt Ltd ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Langtang Valley Trek ,, 52250 ,, 10days ,, nan ,, Private Tour   ,, Moderate ,, Glorious Himalaya Trekking Pvt Ltd. ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Heli Trek ,, 339900 ,, 9days ,, nan ,, Private Tour   ,, Hard ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Around Kathmandu Trek ,, 44000 ,, 6days ,, 5.0  ,, Private Tour   ,, nan ,, Ace the Himalaya ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Mera Peak Climbing ,, 214500 ,, 16days ,, 5.0  ,, Private and Group Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Mera Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Nepal Multi Sports Adventure ,, 132000 ,, 11days ,, 5.0  ,, Private Tour   ,, nan ,, Ace the Himalaya ,, Kathmandu ,, Adventure And Sport Activities ,, Adventure ,, 
Langtang Circuit Trekking ,, 82500 ,, 14days ,, 5.0  ,, Private and Group Tour   ,, Moderate ,, Nepal Eco Adventure Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Panorama Trekking - Private Trip ,, 95700 ,, 7days ,, nan ,, Private Tour   ,, Easy ,, Adventure Bound Treks and Tours ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Manaslu Trek ,, 89650 ,, 14days ,, nan ,, Private Tour   ,, Medium ,, Unique Path Trekking & Expedition (P) LTD. ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest View Trek ,, 87890 ,, 7days ,, 4.0  ,, Private Tour   ,, Moderate ,, Mount Adventure Holidays ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Himalayan Trek ,, 66000 ,, 10days ,, 5.0  ,, Private Tour   ,, Easy ,, Ace the Himalaya ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Yala Peak Climbing Adventure  ,, 173690 ,, 16 days ,, 5.0  ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Yala Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Gokyo + Cho La Pass Trekking Adventure  ,, 137940 ,, 16days ,, 5.0  ,, Private Tour   ,, Medium ,, Trekking Planner (P.) Ltd ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Trek ,, 122100 ,, 12days ,, nan ,, Private and Group Tour   ,, Medium ,, Glorious Himalaya Trekking Pvt Ltd. ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp Trek ,, 51700 ,, 10days ,, 5.0  ,, Private Tour   ,, Moderate ,, Glorious Himalaya Trekking Pvt Ltd. ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Panorama View Trek ,, 74800 ,, 7days ,, nan ,, Private Tour   ,, Easy ,, Glorious Himalaya Trekking Pvt Ltd. ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Island Peak Climbing From Chhukung ,, 104500 ,, 3days ,, nan ,, Group Tour - Max 20 participants   ,, nan ,, Green Valley Nepal Treks Pvt Ltd ,, Island Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Gokyo Lakes And Gokyo Ri Trek ,, 126500 ,, 11days ,, 5.0  ,, Private and Group Tour   ,, Hard ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Glimpse Of Nepal ,, 88000 ,, 8days ,, nan ,, Private Tour   ,, nan ,, Ace the Himalaya ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Cultural religious and historic sites ,, 
Mount Everest Overland Jeep Tour - Tibet ,, 181060 ,, 13days ,, nan ,, Private Tour   ,, nan ,, Himalayan Trekking and Tours (P) Ltd ,, Lhasa ,, Adventure And Sport Activities ,, Adventure ,, 
Everest Base Camp -Lobuche East Peak Climbing ,, 203500 ,, 14days ,, nan ,, Private Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Lobuche East Peak ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Gokyo Lake Trek ,, 97900 ,, 12days ,, 3.5  ,, Private Tour   ,, Medium ,, Glorious Himalaya Trekking Pvt Ltd. ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Manaslu-Tsum Valley Trek ,, 154000 ,, 21days ,, 5.0  ,, Private Tour   ,, Hard ,, Nepal Eco Adventure Pvt Ltd ,, Manaslu-Tsum Valley ,, Adventure And Sport Activities ,, Trekking ,, 
India To Nepal ,, 115390 ,, 19days ,, 5.0  ,, Group Tour - Max 10 participants   ,, nan ,, Tucan Travel ,, Delhi ,, Adventure And Sport Activities ,, Adventure ,, 
Annapurna Panorama Trek ,, 94600 ,, 12days ,, 5.0  ,, Private Tour   ,, Moderate ,, Buddha Treks and Expedition ,, Annapurna Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Sanctuary Trek ,, 187550 ,, 15days ,, 4.6  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Island Peak With Everest Base Camp ,, 225500 ,, 17days ,, 4.0  ,, Private Tour   ,, nan ,, Exciting Nepal Treks and Expedition ,, Island Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Makalu Basecamp Trek ,, 204050 ,, 15days ,, 5.0  ,, Private Tour   ,, Medium ,, Mount Adventure Holidays ,, Makalu Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Ghorepani Poon Hill Trek ,, 65450 ,, 10days ,, 5.0  ,, Private Tour   ,, Easy ,, Breakfree Adventures Pvt Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp - 3 Passes Adventure Trek ,, 162800 ,, 21days ,, 5.0  ,, Private Tour   ,, Hard ,, Buddha Treks and Expedition ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Island Peak Climbing With Everest Base Camp Trek ,, 218900 ,, 16days ,, 5.0  ,, Private Tour   ,, Hard ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Island Peak ,, Adventure And Sport Activities ,, Trekking ,, 
Essential India & Nepal ,, 151800 ,, 16days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Travel Talk ,, Delhi Tours ,, Explorer ,, Explorer ,, 
Lobuche Peak With The Everest Base Camp Trek ,, 226050 ,, 18days ,, 5.0  ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Lobuche East Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Manaslu Circuit Trek ,, 119900 ,, 15days ,, nan ,, Private Tour   ,, Hard ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Langtang Valley Trekking  ,, 53350 ,, 7days ,, nan ,, Private Tour   ,, Moderate ,, Green Valley Nepal Treks Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit Trek  ,, 98890 ,, 16days ,, nan ,, Private Tour   ,, Medium ,, Adventure Bound Treks and Tours ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Kathmandu To Delhi ,, 160050 ,, 15days ,, 4.0  ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Manaslu Circuit Trek ,, 131890 ,, 14 days ,, 5.0  ,, Private Tour   ,, Moderate ,, Mount Adventure Holidays ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, 
11 Days EBC Trek Fly-out By Helicopter ,, 296450 ,, 11days ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Manaslu Trek  ,, 133650 ,, 14days ,, 5.0  ,, Private Tour   ,, Hard ,, Exciting Nepal Treks and Expedition ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp Trek ,, 68200 ,, 11days ,, 5.0  ,, Private Tour   ,, Medium ,, Breakfree Adventures Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit Trek ,, 156640 ,, 18days ,, 3.0  ,, Group Tour - Max 15 participants   ,, nan ,, G Adventures ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Mini Annapurna Circuit ,, 221650 ,, 15days ,, 5.0  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Panorama - 13 Days ,, 225170 ,, 13days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, On The Go Tours ,, Annapurna Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Sun Kosi River Rafting ,, 77000 ,, 1days ,, 5.0  ,, Group Tour   ,, nan ,, GRG Adventure Kayaking ,, Sun Koshi River ,, Boat Tours Water Sports And Marine Wildlife ,, Rafting ,, 
Gosaikunda Trekking 7-Days ,, 55000 ,, 7days ,, 5.0  ,, Private Tour   ,, Medium ,, Nepal Lion Tours and Treks Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest In Full Picture ,, 121550 ,, 5days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Inside-Out Kathmandu ,, 47080 ,, 4days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Beach Romance Getaways And Relaxation ,, Getaways and Short breaks ,, 
Langtang Valley Trek ,, 58850 ,, 8days ,, 5.0  ,, Private Tour   ,, Moderate ,, Exciting Nepal Treks and Expedition ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Nepal Adventure ,, 133100 ,, 10days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, G Adventures ,, Kathmandu ,, Wildlife Landscapes And Nature ,, Wildlife ,, 
Kathmandu And Pokhara Tour ,, 72050 ,, 5days ,, 5.0  ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Pokhara ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, 
Cultural Tour Of Kathmandu Valley ,, 65450 ,, 6days ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, 
Experience Nepal ,, 176000 ,, 15days ,, 5.0  ,, Private Tour   ,, Easy ,, Ace the Himalaya ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna & Chitwan In Luxury ,, 435050 ,, 13days ,, 4.8  ,, Group Tour - Max 12 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Langtang Trek ,, 75900 ,, 10days ,, 5.0  ,, Private Tour   ,, Easy ,, Trek Nepal Intl PVT.LTD ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Trekking ,, 167750 ,, 14days ,, 5.0  ,, Private Tour   ,, Medium ,, Trek Nepal Intl PVT.LTD ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Classic Nepal Experience ,, 97900 ,, 8days ,, 5.0  ,, Private Tour   ,, nan ,, Unique Adventure International Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, 
Upper Dolpo (Dolpa) Trek ,, 449900 ,, 28days ,, nan ,, Private Tour   ,, Hard ,, Unique Adventure International Pvt Ltd ,, Upper Dolpo Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Langtang Valley View Treks 8-Days ,, 55000 ,, 8days ,, nan ,, Private Tour   ,, Moderate ,, Nepal Lion Tours and Treks Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Nepal And Tibet Tour ,, 237600 ,, 12days ,, nan ,, Private Tour   ,, nan ,, Himalayan Trekking and Tours (P) Ltd ,, Lhasa ,, Wildlife Landscapes And Nature ,, Wildlife safaris ,, 
Kanchenjunga Base Camp Trek ,, 214500 ,, 20days ,, nan ,, Private Tour   ,, Medium ,, Adventure Bound Treks and Tours ,, Kanchenjunga Base Camp ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp & Gokyo Lakes ,, 221650 ,, 19days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Mera Peak Climbing ,, 246950 ,, 20days ,, 5.0  ,, Private Tour   ,, nan ,, Buddha Treks and Expedition ,, Mera Peak ,, Adventure And Sport Activities ,, Climbing ,, 
1 Hour Scenic Mt. Everest Flight ,, 24090 ,, 1hours ,, 4.9  ,, Group Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Kathmandu ,, Air Tours Road Trips And Transfers ,, Mountain flights ,, 
Nar Phu Valley Trek ,, 98890 ,, 9days ,, 5.0  ,, Private Tour   ,, Medium ,, Mount Adventure Holidays ,, Nar Phu Valley Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Chitwan National Park Safari ,, 17600 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Himalayan Trekking and Tours (P) Ltd ,, Chitwan National Park ,, Wildlife Landscapes And Nature ,, Wildlife safaris ,, 
Tamang Heritage Trail Trekking  ,, 68750 ,, 9days ,, nan ,, Private Tour   ,, Moderate ,, Exciting Nepal Treks and Expedition ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Helambu Culture Trek ,, 65890 ,, 6days ,, nan ,, Private Tour   ,, Easy ,, Mount Adventure Holidays ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Dhampus Peak Climbing ,, 313500 ,, 24days ,, nan ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Dhampus Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Explore Kathmandu ,, 45650 ,, 6days ,, 4.5  ,, Private Tour   ,, nan ,, Ace the Himalaya ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Cultural religious and historic sites ,, 
Mardi Himal Trek ,, 71500 ,, 9days ,, nan ,, Private Tour   ,, Moderate ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Mardi Himal Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Mera Peak Climbing - 15 Days ,, 218900 ,, 15days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Mera Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Langtang Trek ,, 63250 ,, 8days ,, nan ,, Private Tour   ,, Moderate ,, Outshine Adventure Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Short Annapurna Base Camp ,, 82500 ,, 8days ,, nan ,, Private Tour   ,, Moderate ,, Adventure Mountain Explore Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Chitwan Extension ,, 73480 ,, 4days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Wildlife Landscapes And Nature ,, Rainforest and jungle visits ,, 
Tour Of Kathmandu Pokhara & Chitwan ,, 82500 ,, 8days ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, 
Chitwan National Park Safari ,, 19800 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Adventure Bound Treks and Tours ,, Chitwan National Park ,, Wildlife Landscapes And Nature ,, National parks ,, 
Green Park Chitwan - 4 Days ,, 34760 ,, 4days ,, nan ,, Private Tour   ,, nan ,, Master Himalaya Treks and Expedition Pvt Ltd ,, Chitwan National Park ,, Wildlife Landscapes And Nature ,, Rainforest and jungle visits ,, 
Upper Mustang - Lo Manthang Trek ,, 203500 ,, 18days ,, 5.0  ,, Private Tour   ,, Medium ,, Buddha Treks and Expedition ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Nepal Tour 5 Night 6 Days ,, 94050 ,, 6days ,, nan ,, Private Tour   ,, nan ,, Nepal Lion Tours and Treks Pvt Ltd ,, Chitwan National Park ,, Wildlife Landscapes And Nature ,, Rainforest and jungle visits ,, 
Green Park Chitwan Adventure 3 Days ,, 24640 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Master Himalaya Treks and Expedition Pvt Ltd ,, Chitwan National Park ,, Wildlife Landscapes And Nature ,, Wildlife ,, 
Ganesh Himal Trekking Tour ,, 131450 ,, 14days ,, nan ,, Group Tour   ,, Moderate ,, Outshine Adventure Pvt Ltd ,, Ganesh Himal ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp Tour ,, 105600 ,, 12days ,, 5.0  ,, Private Tour   ,, Medium ,, Mosaic Adventure ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Three High Passes Trek ,, 152900 ,, 17days ,, nan ,, Private Tour   ,, Medium ,, Adventure Bound Treks and Tours ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Poon Hill Trek ,, 27500 ,, 4days ,, 5.0  ,, Private Tour   ,, Medium ,, Base Camp Adventure Treks & Expedition Pvt. Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Sanctuary ,, 102080 ,, 15days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, G Adventures ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp - 3 Passes Trek ,, 141350 ,, 17days ,, 5.0  ,, Private Tour   ,, Hard ,, Exciting Nepal Treks and Expedition ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Gokyo Lake Trek ,, 98450 ,, 12days ,, 5.0  ,, Private Tour   ,, Medium ,, Exciting Nepal Treks and Expedition ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Kanchanjunga Trekking  ,, 236500 ,, 21days ,, nan ,, Private Tour   ,, Hard ,, Exciting Nepal Treks and Expedition ,, Kanchenjunga Base Camp ,, Adventure And Sport Activities ,, Trekking ,, 
Mohare Danda Trek ,, 63250 ,, 11days ,, 5.0  ,, Private Tour   ,, Easy ,, Glorious Himalaya Trekking Pvt Ltd. ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Himalaya & Everest View Trek 3D/2N ,, 26070 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Upper Mustang Trek ,, 136400 ,, 15days ,, 5.0  ,, Private Tour   ,, Medium ,, Himalayan Trekking and Tours (P) Ltd ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
