Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, 
Gokyo And Everest Base Camp Trek ,, 130350 ,, 14days ,, 4.7  ,, Private and Group Tour   ,, Hard ,, Green Valley Nepal Treks Pvt Ltd ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Manaslu Circuit Trek ,, 110000 ,, 14days ,, 4.8  ,, Private Tour   ,, Hard ,, Green Valley Nepal Treks Pvt Ltd ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, 
12-Day Everest Base Camp Trekking ,, 120890 ,, 12days ,, 5.0  ,, Private Tour   ,, Medium ,, Trekking Planner (P.) Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Experience Nepal ,, 148500 ,, 10days ,, 5.0  ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Gokyo Lake And Everest Base Camp + Cho La Pass ,, 135300 ,, 15days ,, 4.7  ,, Private and Group Tour   ,, Hard ,, Unique Adventure International Pvt Ltd ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Trek ,, 125400 ,, 13days ,, 5.0  ,, Private Tour   ,, Hard ,, Friends Adventure Team Pvt. Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp Trek ,, 72600 ,, 12days ,, 5.0  ,, Private Tour   ,, Medium ,, Buddha Treks and Expedition ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Gosainkunda Trekking  ,, 44550 ,, 7days ,, 5.0  ,, Private Tour   ,, Moderate ,, Green Valley Nepal Treks Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Trek (EBC Trek) - 12 Days ,, 94050 ,, 12days ,, 4.9  ,, Private Tour   ,, Hard ,, Breakfree Adventures Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit Trek - 15 Days ,, 102960 ,, 15days ,, 4.7  ,, Private Tour   ,, Medium ,, Himalayan Leisure Inc. ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
