Name of Package,,Price,,Duration,,Rating,,Tour Type,,Trek Difficulty,,

Everest Base Camp,,1481,,16days,,nan,,Group Tour - Max 12 participants  ,,nan,,

Name of Package,,Price,,Duration,,Rating,,Tour Type,,Trek Difficulty,,

Delhi To Kathmandu,,3201,,16days,,nan,,Group Tour - Max 12 participants  ,,nan,,

Name of Package,,Price,,Duration,,Rating,,Tour Type,,Trek Difficulty,,

Nepal On A Shoestring,,734,,8days,,nan,,Group Tour - Max 18 participants  ,,nan,,

Name of Package,,Price,,Duration,,Rating,,Tour Type,,Trek Difficulty,,

Nepal Family Adventure,,2279,,14days,,nan,,Group Tour - Max 18 participants  ,,nan,,

Name of Package,,Price,,Duration,,Rating,,Tour Type,,Trek Difficulty,,

Nepal Discovery,,1206,,8days,,nan,,Group Tour - Max 18 participants  ,,nan,,

Name of Package,,Price,,Duration,,Rating,,Tour Type,,Trek Difficulty,,

Himalayan Kingdoms,,2788,,12days,,nan,,Group Tour - Max 10 participants  ,,nan,,

Name of Package,,Price,,Duration,,Rating,,Tour Type,,Trek Difficulty,,

Lumding Valley & Teng Kangpoche Peak With Soren Kruse Ledet,,7979,,30days,,nan,,Group Tour - Max 12 participants  ,,nan,,

Name of Package,,Price,,Duration,,Rating,,Tour Type,,Trek Difficulty,,

Chitwan Independent Adventure And Homestay,,693,,4days,,nan,,Independent Tour  ,,nan,,

Name of Package,,Price,,Duration,,Rating,,Tour Type,,Trek Difficulty,,

Wellness Nepal,,3134,,13days,,nan,,Group Tour - Max 15 participants  ,,nan,,

