'Name of Package','Price','Duration','Rating','Tour Type','Trek Difficulty',
,,,,,,
'Island Peak Climbing Trek ',1855,'15days',4.8,'Private and Group Tour  ','nan',
,,,,,,
'Annapurna Base Camp Short Trek',490,'7days',5,'Private Tour  ','Moderate',
,,,,,,
'Upper Mustang Trek',1550,'14days',4.5,'Private and Group Tour  ','Medium',
,,,,,,
'Delhi To Kathmandu',1585,'15days',5,'Group Tour - Max 12 participants  ','nan',
,,,,,,
'Everest View Trek',990,'7days',5,'Group Tour - Max 12 participants  ','Easy',
,,,,,,
'Ghandruk Loop Trek From Pokhara',250,'3days',4,'Private Tour  ','Moderate',
,,,,,,
'Gokyo Valley Trek',1050,'10days',4.7,'Private Tour  ','Medium',
,,,,,,
'Everest Base Camp Trek',1291,'15days',4.8,'Group Tour - Max 15 participants  ','Easy',
,,,,,,
'Mardi Himal Trek',720,'6days',4.2,'Private Tour  ','Moderate',
,,,,,,
'Kanchenjunga Circuit Trek',2255,'21days',5,'Private Tour  ','Medium',
,,,,,,
'Everest Base Camp Trek',1050,'12days',5,'Private Tour  ','Medium',
,,,,,,
'Annapurna Base Camp Trek',675,'10days',4.8,'Private Tour  ','Moderate',
,,,,,,
'Everest Base Camp Trek ',1100,'12days',4.9,'Private Tour  ','Hard',
,,,,,,
'Summit Mera Peak',2030,'18days',5,'Private Tour  ','nan',
,,,,,,
'Everest Base Camp Trek With Chopper Return',2230,'9days',5,'Private Tour  ','Moderate',
,,,,,,
'Nagarkot To Dhulikhel Hike (Day Hiking In Kathmandu)',70,'1days','nan','Private Tour  ','nan',
,,,,,,
'Trip To Everest Base Camp Tibet From Kathmandu',2190,'13days','nan','Private Tour  ','nan',
,,,,,,
'Island Peak Climbing & Everest Base Camp Trek',1776,'16days',5,'Private Tour  ','nan',
,,,,,,
'Mountain Biking On The Annapurna Circuit',1760,'14days',5,'Private and Group Tour  ','nan',
,,,,,,
'Enduro Mountain Biking Around Kathmandu',250,'2days',5,'Private Tour  ','nan',
,,,,,,
'Cycling On The Apple Brandy Trail',690,'5days',5,'Private Tour  ','nan',
,,,,,,
'Temples And Monasteries',45,'5hours','nan','Private Tour  ','nan',
,,,,,,
'Night Ride In Kathmandu',65,'3hours','nan','Private Tour  ','nan',
,,,,,,
'Morning Glory',25,'2hours',5,'Private Tour  ','nan',
,,,,,,
'Tour In Georgia 8 Days',649,'8days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'10 Days Everest Base Camp Trek',1050,'10days',5,'Group Tour  ','Medium',
,,,,,,
'Everest Base Camp & Island Peak Climb',2090,'19days',5,'Private and Group Tour  ','nan',
,,,,,,
'Everest Base Camp & Kalapatthar Trek',950,'15days',4.9,'Private and Group Tour  ','Hard',
,,,,,,
'Pokhara Full Day Sightseeing Tour',75,'1days','nan','Private Tour  ','nan',
,,,,,,
'Pokhara Half Day Sightseeing Tour',65,'4hours','nan','Private Tour  ','nan',
,,,,,,
'30-minute Paragliding In Pokhara',125,'3hours','nan','Private Tour  ','nan',
,,,,,,
'Sunrise View From Sarangkot',75,'3hours','nan','Private Tour  ','nan',
,,,,,,
'Everest Base Camp Trek With Chopper Return (9 Days)',2400,'9days','nan','Private and Group Tour  ','Hard',
,,,,,,
'Short Annapurna Base Camp Trek',565,'8days',5,'Private Tour  ','Medium',
,,,,,,
'Lang Tang Valley Trek',555,'8days',4.8,'Private Tour  ','Moderate',
,,,,,,
'Gokyo Lake Trek',1250,'15days',5,'Private and Group Tour  ','Medium',
,,,,,,
'10-day Langtang Valley Trek',481,'10days',5,'Private Tour  ','Easy',
,,,,,,
'03-Day Chitwan Jungle Safari Tour',160,'3days','nan','Private Tour  ','nan',
,,,,,,
'Everest Base Camp Trek',2475,'16days',5,'Group Tour - Max 16 participants  ','nan',
,,,,,,
'Gokyo Valley Trek',1030,'11days',5,'Private and Group Tour  ','Medium',
,,,,,,
'Annapurna Base Camp Trek',635,'11days',5,'Private Tour  ','Medium',
,,,,,,
'Everest Base Camp - 3 High Passes Trek',1390,'16days',5,'Private Tour  ','Hard',
,,,,,,
'12-Day Annapurna Base Camp Trekking',899,'12days',5,'Private Tour  ','Moderate',
,,,,,,
'Langtang Valley Trek',399,'8days',4.2,'Private Tour  ','Moderate',
,,,,,,
'Annapurna Base Camp Trek',735,'8days',5,'Private Tour  ','Moderate',
,,,,,,
'Everest Base Camp Trek',1055,'11days',5,'Private Tour  ','Hard',
,,,,,,
'Everest Base Camp Trek With Island Peak Climbing',1950,'17days',4.5,'Private Tour  ','nan',
,,,,,,
'Manaslu Trek - 12 Days',950,'12days',4.5,'Private Tour  ','Moderate',
,,,,,,
'Kolkata To Kathmandu (via Bhutan) Overland',5560,'15days','nan','Group Tour - Max 22 participants  ','nan',
,,,,,,
'Annapurna Base Camp Trek',830,'11days',5,'Private Tour  ','Moderate',
,,,,,,
'Annapurna Base Camp Trek',650,'8days',5,'Private and Group Tour  ','Moderate',
,,,,,,
'Annapurna Circuit Trek',690,'16days',4.8,'Private Tour  ','Medium',
,,,,,,
'Walking Annapurna',415,'5days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Everest & Gokyo Lakes Circuit',2635,'19days',4.9,'Group Tour - Max 16 participants  ','nan',
,,,,,,
'Poonhill Trek',490,'6days',4.9,'Private Tour  ','Easy',
,,,,,,
'Everest Base Camp Trekking 12 Days',1060,'12days',4.8,'Private Tour  ','Hard',
,,,,,,
'Everest & Annapurna',2955,'31days','nan','Group Tour - Max 16 participants  ','Easy',
,,,,,,
'Upper Mustang Trek',1490,'12days',5,'Private Tour  ','nan',
,,,,,,
'Annapurna Circuit Trek',1050,'20days',4.9,'Private Tour  ','Medium',
,,,,,,
'Gokyo Renjo La Pass Trekking',1140,'13days','nan','Private Tour  ','Moderate',
,,,,,,
'Gokyo Valley Circuit Trek ',1000,'11days',5,'Private Tour  ','Medium',
,,,,,,
'Upper Mustang Trek',1775,'14days',5,'Private Tour  ','Medium',
,,,,,,
'Manaslu - Tsum Valley Trekking',1395,'21days',4,'Private Tour  ','Hard',
,,,,,,
'Mera Peak Climbing Tour ',2055,'18days',5,'Private and Group Tour  ','nan',
,,,,,,
'Kanchanjunga Base Camp Trek',1850,'25days',4.9,'Private Tour  ','Hard',
,,,,,,
'Gokyo And Everest Base Camp Trek',1075,'15days',5,'Private Tour  ','Medium',
,,,,,,
'Highlights Of Nepal',544,'11days',4.2,'Group Tour - Max 10 participants  ','nan',
,,,,,,
'10-day Gosainkunda Trekking Nepal',464,'10days',4,'Private Tour  ','nan',
,,,,,,
'Joint Treks Of Langtang And Poon Hill - 12 Days',855,'12days',4.5,'Private Tour  ','Easy',
,,,,,,
'Annapurna Base Camp Trek',799,'14days',5,'Private Tour  ','Moderate',
,,,,,,
'Annapurna Sanctuary Trek',790,'13days',5,'Private and Group Tour  ','Medium',
,,,,,,
'Annapurna Base Camp/PoonHill Trekking',650,'12days',4.8,'Private Tour  ','Hard',
,,,,,,
'Poonhill Short Trek',300,'4days','nan','Private Tour  ','Easy',
,,,,,,
'Mera Island & Lobuche: Three Peak Climb',3757,'28days',5,'Private and Group Tour  ','nan',
,,,,,,
'14 Day Everest Base Camp Trek',1299,'14days',5,'Private Tour  ','Hard',
,,,,,,
'High Passes To Everest Base Camp',2785,'21days',4.8,'Group Tour - Max 16 participants  ','nan',
,,,,,,
'Annapurna Base Camp Trekking ',560,'12days',5,'Private Tour  ','Moderate',
,,,,,,
'Annapurna Panorama Trek',550,'9days',5,'Private Tour  ','Easy',
,,,,,,
'Gokyo And Everest Base Camp',1260,'16days',5,'Group Tour - Max 12 participants  ','Hard',
,,,,,,
'Bardia National Park 5 Days/ 4 Nights',300,'5days','nan','Private Tour  ','nan',
,,,,,,
'Everest Panorama Trek',925,'7days',5,'Private Tour  ','Moderate',
,,,,,,
'Chulu Far East Peak Climbing',2055,'20days',4.7,'Private and Group Tour  ','nan',
,,,,,,
'Chulu West Peak Climb',2090,'17days',4.7,'Private Tour  ','nan',
,,,,,,
'Mardi Himal Trekking',500,'8days',5,'Private and Group Tour  ','Moderate',
,,,,,,
'Langtang Gosaikunda Trek',950,'13days',4,'Private and Group Tour  ','Medium',
,,,,,,
'Poonhill Trekking',545,'6days',4.7,'Private Tour  ','Easy',
,,,,,,
'Annapurna Circuit',2325,'22days',4.6,'Group Tour - Max 16 participants  ','nan',
,,,,,,
'Everest Base Camp And Three Passes Trek',1550,'16days',5,'Private and Group Tour  ','Hard',
,,,,,,
'Manaslu Lodge Circuit',2475,'18days',4.9,'Group Tour - Max 14 participants  ','nan',
,,,,,,
'Gokyo Everest Base Camp Trek',1390,'16days',5,'Private Tour  ','Hard',
,,,,,,
'Wonders Of India And Nepal',1199,'29days',4.5,'Group Tour - Max 10 participants  ','nan',
,,,,,,
'Nepal 10 Days 9 Nights Sightseeing Tour Around In Nepal',800,'10days','nan','Private Tour  ','nan',
,,,,,,
'Everest Base Camp & Kalapathar Trek',849,'12days','nan','Private Tour  ','Hard',
,,,,,,
'Ruby Valley Ganesh Himal Trek / Pangsang Pass',599,'6days',4.3,'Private Tour  ','Moderate',
,,,,,,
'Annapurna Circuit Trek',1375,'21days',5,'Private Tour  ','Hard',
,,,,,,
'Langtang Valley Trek',475,'10days','nan','Private Tour  ','Moderate',
,,,,,,
'Everest Base Camp Heli Trek',3090,'9days','nan','Private Tour  ','Hard',
,,,,,,
'Around Kathmandu Trek',400,'6days',5,'Private Tour  ','nan',
,,,,,,
'Mera Peak Climbing',1950,'16days',5,'Private and Group Tour  ','nan',
,,,,,,
'Nepal Multi Sports Adventure',1200,'11days',5,'Private Tour  ','nan',
,,,,,,
'Langtang Circuit Trekking',750,'14days',5,'Private and Group Tour  ','Moderate',
,,,,,,
'Everest Panorama Trekking - Private Trip',870,'7days','nan','Private Tour  ','Easy',
,,,,,,
'Manaslu Trek',815,'14days','nan','Private Tour  ','Medium',
,,,,,,
'Everest View Trek',799,'7days',4,'Private Tour  ','Moderate',
,,,,,,
'Annapurna Himalayan Trek',600,'10days',5,'Private Tour  ','Easy',
,,,,,,
'Yala Peak Climbing Adventure ',1579,'16 days',5,'Private and Group Tour  ','nan',
,,,,,,
'Gokyo + Cho La Pass Trekking Adventure ',1254,'16days',5,'Private Tour  ','Medium',
,,,,,,
'Everest Base Camp Trek',1110,'12days','nan','Private and Group Tour  ','Medium',
,,,,,,
'Annapurna Base Camp Trek',470,'10days',5,'Private Tour  ','Moderate',
,,,,,,
'Everest Panorama View Trek',680,'7days','nan','Private Tour  ','Easy',
,,,,,,
'Island Peak Climbing From Chhukung',950,'3days','nan','Group Tour - Max 20 participants  ','nan',
,,,,,,
'Gokyo Lakes And Gokyo Ri Trek',1150,'11days',5,'Private and Group Tour  ','Hard',
,,,,,,
'Glimpse Of Nepal',800,'8days','nan','Private Tour  ','nan',
,,,,,,
'Mount Everest Overland Jeep Tour - Tibet',1646,'13days','nan','Private Tour  ','nan',
,,,,,,
'Everest Base Camp -Lobuche East Peak Climbing',1850,'14days','nan','Private Tour  ','nan',
,,,,,,
'Everest Gokyo Lake Trek',890,'12days',3.5,'Private Tour  ','Medium',
,,,,,,
'Manaslu-Tsum Valley Trek',1400,'21days',5,'Private Tour  ','Hard',
,,,,,,
'India To Nepal',1049,'19days',5,'Group Tour - Max 10 participants  ','nan',
,,,,,,
'Annapurna Panorama Trek',860,'12days',5,'Private Tour  ','Moderate',
,,,,,,
'Annapurna Sanctuary Trek',1705,'15days',4.6,'Group Tour - Max 16 participants  ','nan',
,,,,,,
'Island Peak With Everest Base Camp',2050,'17days',4,'Private Tour  ','nan',
,,,,,,
'Makalu Basecamp Trek',1855,'15days',5,'Private Tour  ','Medium',
,,,,,,
'Ghorepani Poon Hill Trek',595,'10days',5,'Private Tour  ','Easy',
,,,,,,
'Everest Base Camp - 3 Passes Adventure Trek',1480,'21days',5,'Private Tour  ','Hard',
,,,,,,
'Island Peak Climbing With Everest Base Camp Trek',1990,'16days',5,'Private Tour  ','Hard',
,,,,,,
'Essential India & Nepal',1380,'16days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Lobuche Peak With The Everest Base Camp Trek',2055,'18days',5,'Private and Group Tour  ','nan',
,,,,,,
'Manaslu Circuit Trek',1090,'15days','nan','Private Tour  ','Hard',
,,,,,,
'Langtang Valley Trekking ',485,'7days','nan','Private Tour  ','Moderate',
,,,,,,
'Annapurna Circuit Trek ',899,'16days','nan','Private Tour  ','Medium',
,,,,,,
'Kathmandu To Delhi',1455,'15days',4,'Group Tour - Max 12 participants  ','nan',
,,,,,,
'Manaslu Circuit Trek',1199,'14 days',5,'Private Tour  ','Moderate',
,,,,,,
'11 Days EBC Trek Fly-out By Helicopter',2695,'11days','nan','Private Tour  ','nan',
,,,,,,
'Manaslu Trek ',1215,'14days',5,'Private Tour  ','Hard',
,,,,,,
'Annapurna Base Camp Trek',620,'11days',5,'Private Tour  ','Medium',
,,,,,,
'Annapurna Circuit Trek',1424,'18days',3,'Group Tour - Max 15 participants  ','nan',
,,,,,,
'Mini Annapurna Circuit',2015,'15days',5,'Group Tour - Max 16 participants  ','nan',
,,,,,,
'Annapurna Panorama - 13 Days',2047,'13days','nan','Group Tour - Max 15 participants  ','nan',
,,,,,,
'Sun Kosi River Rafting',700,'1days',5,'Group Tour  ','nan',
,,,,,,
'Gosaikunda Trekking 7-Days',500,'7days',5,'Private Tour  ','Medium',
,,,,,,
'Everest In Full Picture',1105,'5days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Inside-Out Kathmandu',428,'4days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Langtang Valley Trek',535,'8days',5,'Private Tour  ','Moderate',
,,,,,,
'Nepal Adventure',1210,'10days','nan','Group Tour - Max 15 participants  ','nan',
,,,,,,
'Kathmandu And Pokhara Tour',655,'5days',5,'Private Tour  ','nan',
,,,,,,
'Cultural Tour Of Kathmandu Valley',595,'6days','nan','Private Tour  ','nan',
,,,,,,
'Experience Nepal',1600,'15days',5,'Private Tour  ','Easy',
,,,,,,
'Annapurna & Chitwan In Luxury',3955,'13days',4.8,'Group Tour - Max 12 participants  ','nan',
,,,,,,
'Langtang Trek',690,'10days',5,'Private Tour  ','Easy',
,,,,,,
'Everest Base Camp Trekking',1525,'14days',5,'Private Tour  ','Medium',
,,,,,,
'Classic Nepal Experience',890,'8days',5,'Private Tour  ','nan',
,,,,,,
'Upper Dolpo (Dolpa) Trek',4090,'28days','nan','Private Tour  ','Hard',
,,,,,,
'Langtang Valley View Treks 8-Days',500,'8days','nan','Private Tour  ','Moderate',
,,,,,,
'Nepal And Tibet Tour',2160,'12days','nan','Private Tour  ','nan',
,,,,,,
'Kanchenjunga Base Camp Trek',1950,'20days','nan','Private Tour  ','Medium',
,,,,,,
'Everest Base Camp & Gokyo Lakes',2015,'19days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Mera Peak Climbing',2245,'20days',5,'Private Tour  ','nan',
,,,,,,
'1 Hour Scenic Mt. Everest Flight',219,'1hours',4.9,'Group Tour  ','nan',
,,,,,,
'Nar Phu Valley Trek',899,'9days',5,'Private Tour  ','Medium',
,,,,,,
'Chitwan National Park Safari',160,'3days','nan','Private Tour  ','nan',
,,,,,,
'Tamang Heritage Trail Trekking ',625,'9days','nan','Private Tour  ','Moderate',
,,,,,,
'Helambu Culture Trek',599,'6days','nan','Private Tour  ','Easy',
,,,,,,
'Dhampus Peak Climbing',2850,'24days','nan','Private and Group Tour  ','nan',
,,,,,,
'Explore Kathmandu',415,'6days',4.5,'Private Tour  ','nan',
,,,,,,
'Mardi Himal Trek',650,'9days','nan','Private Tour  ','Moderate',
,,,,,,
'Mera Peak Climbing - 15 Days',1990,'15days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Langtang Trek',575,'8days','nan','Private Tour  ','Moderate',
,,,,,,
'Short Annapurna Base Camp',750,'8days','nan','Private Tour  ','Moderate',
,,,,,,
'Chitwan Extension',668,'4days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Tour Of Kathmandu  Pokhara & Chitwan ',750,'8days','nan','Private Tour  ','nan',
,,,,,,
'Chitwan National Park Safari',180,'3days','nan','Private Tour  ','nan',
,,,,,,
'Green Park Chitwan - 4 Days',316,'4days','nan','Private Tour  ','nan',
,,,,,,
'Upper Mustang - Lo Manthang Trek',1850,'18days',5,'Private Tour  ','Medium',
,,,,,,
'Nepal Tour 5 Night 6 Days',855,'6days','nan','Private Tour  ','nan',
,,,,,,
'Green Park Chitwan Adventure 3 Days',224,'3days','nan','Private Tour  ','nan',
,,,,,,
'Ganesh Himal Trekking Tour',1195,'14days','nan','Group Tour  ','Moderate',
,,,,,,
'Annapurna Base Camp Tour',960,'12days',5,'Private Tour  ','Medium',
,,,,,,
'Everest Three High Passes Trek',1390,'17days','nan','Private Tour  ','Medium',
,,,,,,
'Poon Hill Trek',250,'4days',5,'Private Tour  ','Medium',
,,,,,,
'Annapurna Sanctuary',928,'15days','nan','Group Tour - Max 15 participants  ','nan',
,,,,,,
'Everest Base Camp - 3 Passes Trek',1285,'17days',5,'Private Tour  ','Hard',
,,,,,,
'Gokyo Lake Trek',895,'12days',5,'Private Tour  ','Medium',
,,,,,,
'Kanchanjunga Trekking ',2150,'21days','nan','Private Tour  ','Hard',
,,,,,,
'Mohare Danda Trek',575,'11days',5,'Private Tour  ','Easy',
,,,,,,
'Himalaya & Everest View Trek 3D/2N',237,'3days','nan','Private Tour  ','nan',
,,,,,,
'Upper Mustang Trek',1240,'15days',5,'Private Tour  ','Medium',
,,,,,,
'Kolkata To Kathmandu Overland',1305,'16days',4,'Group Tour - Max 22 participants  ','nan',
,,,,,,
'Lobuche East Peak Climb With Everest Base Camp Trek',1990,'16days','nan','Private Tour  ','nan',
,,,,,,
'Mera Peak 6470m',2200,'14days','nan','Private Tour  ','nan',
,,,,,,
'Lumba-Sumba Trek',2455,'20days','nan','Private Tour  ','Medium',
,,,,,,
'Upper Dolpo',3000,'21days','nan','Private Tour  ','nan',
,,,,,,
'Manaslu Trek',1625,'20days',5,'Private Tour  ','Medium',
,,,,,,
'Chitwan Jungle Safari - 2 Nights And 3 Days ',295,'3days','nan','Private Tour  ','nan',
,,,,,,
'Kanchenjunga Base Camp Trek',2450,'26days','nan','Private Tour  ','Hard',
,,,,,,
'Manaslu Trek',999,'15days','nan','Private and Group Tour  ','Medium',
,,,,,,
'Langtang Gosainkunda Trek',535,'12days','nan','Private Tour  ','Hard',
,,,,,,
'Kailash Saga Dawa Festival',5224,'21days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Dhampus Peak Climb',2090,'11days','nan','Private Tour  ','nan',
,,,,,,
'Annapurna Circuit Trek 13 Days',875,'13days','nan','Private Tour  ','Hard',
,,,,,,
'Annapurna Base Camp Trek',1994,'16days','nan','Group Tour - Max 16 participants  ','nan',
,,,,,,
'Mustang And High Passes Trek',2890,'27days','nan','Private Tour  ','Hard',
,,,,,,
'Highlights Of Nepal - 9 Days',1278,'9days','nan','Group Tour - Max 15 participants  ','nan',
,,,,,,
'Annapurna Base Camp Trek And Tent Peak Climbing - 14 Days',1690,'14days','nan','Group Tour - Max 10 participants  ','nan',
,,,,,,
'Essential Nepal',772,'9days','nan','Group Tour - Max 12 participants  ','nan',
,,,,,,
'Everest 3 Passes Trek',1100,'16 days','nan','Private Tour  ','Hard',
,,,,,,
'Tamang Heritage Trek',500,'7days',5,'Private and Group Tour  ','Moderate',
,,,,,,
'Upper Dolpo Trek - Private Tour',4576,'22days','nan','Private Tour  ','Hard',
,,,,,,
'Manaslu Circuit Trek',910,'17days',5,'Private Tour  ','Hard',
,,,,,,
'Himalayan Ways (from Kathmandu)',189,'6days','nan','Group Tour - Max 10 participants  ','nan',
,,,,,,
'Upper Dolpo Trekking',4500,'25days','nan','Private Tour  ','Hard',
,,,,,,
'Annapurna Circuit Trek',995,'13days',5,'Private Tour  ','Medium',
,,,,,,
'Everest High Passes Trekking',1510,'20days',5,'Private Tour  ','Hard',
,,,,,,
'Dhaulagiri Circuit Trek',3300,'20days','nan','Private Tour  ','Very Hard',
